Fusion Name	Gene 1 Symbol	Gene 2 Symbol
ANKRD36B:ANKRD36	ANKRD36B	ANKRD36
SERF1A:SERF1B	SERF1A	SERF1B
KNDC1:DYNLL1	KNDC1	DYNLL1
CASKIN1:ATAD3B	CASKIN1	ATAD3B
EIF3C:EIF3CL	EIF3C	EIF3CL
TBPL1:AHI1	TBPL1	AHI1
ADGRG1:TMT1A	ADGRG1	TMT1A
IQCJ:SRRM1	IQCJ	SRRM1
PRR4:SMIM10L1	PRR4	SMIM10L1
SNRPN:LMO7	SNRPN	LMO7
SOD1:P4HTM	SOD1	P4HTM
SPCS3:IDS	SPCS3	IDS
COPS6:CTXN1	COPS6	CTXN1
RBM25:ATP2B1	RBM25	ATP2B1
RPL7L1:FTO	RPL7L1	FTO
LSM4:DYNLRB1	LSM4	DYNLRB1
SS18L2:TRIM8	SS18L2	TRIM8
ABAT:EXOSC8	ABAT	EXOSC8
CCNDBP1:CAB39L	CCNDBP1	CAB39L
PIAS2:MRPS9	PIAS2	MRPS9
CNOT4:NDUFB2	CNOT4	NDUFB2
TUBB2A:TUBB2B	TUBB2A	TUBB2B
GAPDH:TMEM132D	GAPDH	TMEM132D
HPCA:ACTB	HPCA	ACTB
FTH1:PEA15	FTH1	PEA15
PNMA8A:SPRYD3	PNMA8A	SPRYD3
UNC5D:BMP8A	UNC5D	BMP8A
VPS8:ZKSCAN8P1	VPS8	ZKSCAN8P1
RPSA:SEC13	RPSA	SEC13
IRGQ:NPTXR	IRGQ	NPTXR
GPX4:NOL7	GPX4	NOL7
GATC:ZNF641	GATC	ZNF641
IRGQ:NME6	IRGQ	NME6
ST6GALNAC3:AK5	ST6GALNAC3	AK5
ZNF518A:SREK1	ZNF518A	SREK1
RPL30:CMIP	RPL30	CMIP
GOLIM4:MSI2	GOLIM4	MSI2
ANKH:KCTD13	ANKH	KCTD13
NRGN:TEDC1	NRGN	TEDC1
RPS17:CDH12	RPS17	CDH12
SLC6A1:SERPINI1	SLC6A1	SERPINI1
STEAP2:CTSB	STEAP2	CTSB
CLDN12:DTYMK	CLDN12	DTYMK
EEF1A1:CHCHD10	EEF1A1	CHCHD10
SGCB:GATAD1	SGCB	GATAD1
VPS26C:TTC3	VPS26C	TTC3
RAB11B:NTAN1	RAB11B	NTAN1
DPYSL5:CPSF2	DPYSL5	CPSF2
PLCXD1:TPRG1L	PLCXD1	TPRG1L
NEFL:EIF5B	NEFL	EIF5B
WDR41:ADK	WDR41	ADK
EIF3F:PTDSS1	EIF3F	PTDSS1
EEF1A1:BLOC1S2	EEF1A1	BLOC1S2
TSC1:RPL22L1	TSC1	RPL22L1
CLDN12:PSME3IP1	CLDN12	PSME3IP1
PDHB:DNM3	PDHB	DNM3
PXK:ATF6B	PXK	ATF6B
RAB31:NDUFV2	RAB31	NDUFV2
PHYHIP:RPL38	PHYHIP	RPL38
CEP44:LRRC75B	CEP44	LRRC75B
PRKG1:LSM6	PRKG1	LSM6
PPIB:DCBLD1	PPIB	DCBLD1
ENSG00000285444:TRA2A	ENSG00000285444	TRA2A
C4orf3:TMEM120B	C4orf3	TMEM120B
TMEM87B:RAVER2	TMEM87B	RAVER2
NUDT3:PPM1L	NUDT3	PPM1L
SLU7:ICA1L	SLU7	ICA1L
SVIP:SMIM14	SVIP	SMIM14
CFAP20DC:UBAP1L	CFAP20DC	UBAP1L
SMIM12:SPSB1	SMIM12	SPSB1
SLC35F6:PIGX	SLC35F6	PIGX
BDH2:UBB	BDH2	UBB
CEP57:LDB2	CEP57	LDB2
SPRED1:RPL14	SPRED1	RPL14
WBP1L:PBX1	WBP1L	PBX1
CASTOR2:ZNF704	CASTOR2	ZNF704
AKIP1:ITSN1	AKIP1	ITSN1
TMEM41B:STX3	TMEM41B	STX3
ZNF606:TAF15	ZNF606	TAF15
WNT7B:GOLM2	WNT7B	GOLM2
MRPL21:BMERB1	MRPL21	BMERB1
EIF1AD:DIS3L	EIF1AD	DIS3L
GOLGA2:ACOX2	GOLGA2	ACOX2
ISLR2:CAMK1D	ISLR2	CAMK1D
TOR1AIP2:CRK	TOR1AIP2	CRK
COLGALT2:COA6	COLGALT2	COA6
ATP5ME:TAP2	ATP5ME	TAP2
NPIPB12:NPIPB11	NPIPB12	NPIPB11
PHYHIP:MRPL11	PHYHIP	MRPL11
NPIPB3:NPIPB5	NPIPB3	NPIPB5
NPIPB3:NPIPB11	NPIPB3	NPIPB11
ZEB2:MBP	ZEB2	MBP
RAMACL:RAMAC	RAMACL	RAMAC
POLR2J3:ENSG00000267645	POLR2J3	ENSG00000267645
RPSA:RPSA2	RPSA	RPSA2
POLR2J3:UPK3BL1	POLR2J3	UPK3BL1
IGF2:SLC9A6	IGF2	SLC9A6
NBPF10:NBPF26	NBPF10	NBPF26
CHURC1:GPRASP1	CHURC1	GPRASP1
FAM120AOS:GRM3	FAM120AOS	GRM3
PNRC2:TMEM276	PNRC2	TMEM276
SPATS2L:SDHD	SPATS2L	SDHD
LCOR:RPS18	LCOR	RPS18
POM121:POM121C	POM121	POM121C
EEF1AKMT2:MYL6B	EEF1AKMT2	MYL6B
SENP8:FOXJ3	SENP8	FOXJ3
SCN8A:TCEAL5	SCN8A	TCEAL5
DYNLL2:SCN8A	DYNLL2	SCN8A
SMYD4:PCDHGA5	SMYD4	PCDHGA5
TEAD1:RNF220	TEAD1	RNF220
ZNF655:CUX1	ZNF655	CUX1
ZNF559:LRRC37A2	ZNF559	LRRC37A2
HBB:HBA2	HBB	HBA2
RAB40C:PPP1R3E	RAB40C	PPP1R3E
RABL6:ENSG00000289731	RABL6	ENSG00000289731
SMDT1:LY6H	SMDT1	LY6H
THAP5:GRB2	THAP5	GRB2
RBM4:STUM	RBM4	STUM
SRSF10:GMPPB	SRSF10	GMPPB
DNAAF10:GMPPB	DNAAF10	GMPPB
CHD2:ADARB1	CHD2	ADARB1
EIF1AX:BEX5	EIF1AX	BEX5
VWC2L:MAPT	VWC2L	MAPT
NBPF14:NBPF10	NBPF14	NBPF10
CKMT1A:CKMT1B	CKMT1A	CKMT1B
SMG5:GNG10	SMG5	GNG10
RTL8A:NOL7	RTL8A	NOL7
HLA-C:HLA-B	HLA-C	HLA-B
LASP1NB:CEBPZOS	LASP1NB	CEBPZOS
GRIN2B:CEBPD	GRIN2B	CEBPD
HBD:HBB	HBD	HBB
MRPL45:ATP5PO	MRPL45	ATP5PO
C12orf76:SHPK	C12orf76	SHPK
NEUROD1:LINGO1	NEUROD1	LINGO1
TRIM68:GPR155	TRIM68	GPR155
ARPC2:HDGFL2	ARPC2	HDGFL2
CLASP2:COX8A	CLASP2	COX8A
SHANK2:BCR	SHANK2	BCR
KLHL21:DDOST	KLHL21	DDOST
RBBP4:BEX3	RBBP4	BEX3
EMSY:HINT1	EMSY	HINT1
PLPP4:SPG7	PLPP4	SPG7
ABCA5:SMIM10L1	ABCA5	SMIM10L1
C10orf90:SATB1	C10orf90	SATB1
MAGED4:MAGED4B	MAGED4	MAGED4B
SORBS2:ANKRD35	SORBS2	ANKRD35
TRIM39:ANKRD40	TRIM39	ANKRD40
PSMD4:MMS19	PSMD4	MMS19
OXA1L:PGAM5	OXA1L	PGAM5
TMBIM4:XPOT	TMBIM4	XPOT
SNAPC5:PITPNC1	SNAPC5	PITPNC1
CFL1:YWHAG	CFL1	YWHAG
XRRA1:RPL8	XRRA1	RPL8
PRDX3:ADAR	PRDX3	ADAR
PPP1R16A:CCDC92B	PPP1R16A	CCDC92B
SLC29A4:ORAI2	SLC29A4	ORAI2
MRPS16:ORAI2	MRPS16	ORAI2
FLAD1:EIF6	FLAD1	EIF6
LRCH3:BDH1	LRCH3	BDH1
ARL6IP1:S100B	ARL6IP1	S100B
SHANK1:NPIPA9	SHANK1	NPIPA9
ZSCAN12:LRRC57	ZSCAN12	LRRC57
PTMS:KCNA2	PTMS	KCNA2
RGS12:LRPAP1	RGS12	LRPAP1
RNASEK-C17orf49:ADAMTSL2	RNASEK-C17orf49	ADAMTSL2
SSU72:CDK11B	SSU72	CDK11B
NDUFV3:NDUFB8	NDUFV3	NDUFB8
CSTB:ANAPC16	CSTB	ANAPC16
LSM12:ATP5MK	LSM12	ATP5MK
RPL27:HSP90AB1	RPL27	HSP90AB1
NRP1:DCUN1D5	NRP1	DCUN1D5
WASHC2A:WASHC2C	WASHC2A	WASHC2C
MAST3:GNAL	MAST3	GNAL
FKBP5:KHDRBS3	FKBP5	KHDRBS3
ZNF75A:PCDH11Y	ZNF75A	PCDH11Y
NONO:POLR2E	NONO	POLR2E
SNRPD3:VPS28	SNRPD3	VPS28
MRPS21:ULK1	MRPS21	ULK1
TOX4:SERPINI1	TOX4	SERPINI1
TOX4:WDR82	TOX4	WDR82
TRPM7:COPB1	TRPM7	COPB1
HSD11B1L:DPYSL2	HSD11B1L	DPYSL2
CBX5:BIVM	CBX5	BIVM
DSTYK:SORBS1	DSTYK	SORBS1
PARD3:CREM	PARD3	CREM
ADGRL3:CREM	ADGRL3	CREM
NCOA4:HNRNPC	NCOA4	HNRNPC
MORF4L1:ENO1	MORF4L1	ENO1
VSNL1:ANO8	VSNL1	ANO8
ANO8:TNFRSF18	ANO8	TNFRSF18
NCBP3:CHMP1A	NCBP3	CHMP1A
SERINC3:RASAL2	SERINC3	RASAL2
ZNF37A:CNRIP1	ZNF37A	CNRIP1
SLC25A3:LUC7L2	SLC25A3	LUC7L2
FRYL:ZC3H13	FRYL	ZC3H13
GFM2:TSG101	GFM2	TSG101
EID1:PALS1	EID1	PALS1
AP1M1:ACSBG1	AP1M1	ACSBG1
AP1M1:EPS15L1	AP1M1	EPS15L1
FARSA:NSF	FARSA	NSF
DYNC1H1:NSF	DYNC1H1	NSF
PLPBP:CLNS1A	PLPBP	CLNS1A
PLOD1:EXOSC10	PLOD1	EXOSC10
CDHR2:DYNC1I1	CDHR2	DYNC1I1
HECTD4:ACTB	HECTD4	ACTB
IFT27:SLC22A17	IFT27	SLC22A17
CLSTN3:HSCB	CLSTN3	HSCB
EPHX4:HSCB	EPHX4	HSCB
PPP6R2:UBR4	PPP6R2	UBR4
CYB5R3:UBE2D3	CYB5R3	UBE2D3
ARK2N:RPL3	ARK2N	RPL3
PRKAR1B:TAB1	PRKAR1B	TAB1
SLIRP:GNAO1	SLIRP	GNAO1
RBM23:MRPS9	RBM23	MRPS9
ZRANB3:USP40	ZRANB3	USP40
CHMP5:TMEM9B	CHMP5	TMEM9B
FUT9:SNX10	FUT9	SNX10
HUWE1:RPL17	HUWE1	RPL17
MTMR2:IRAK2	MTMR2	IRAK2
MGST3:FTL	MGST3	FTL
AKR1B1:MAP1B	AKR1B1	MAP1B
GNAS:KIF5A	GNAS	KIF5A
CTTN:RBX1	CTTN	RBX1
PVALB:STAG2	PVALB	STAG2
SLC25A17:DAB1	SLC25A17	DAB1
APBB1:ACO2	APBB1	ACO2
FRMD4A:CLTA	FRMD4A	CLTA
MLC1:PARP4	MLC1	PARP4
TRIR:VCPKMT	TRIR	VCPKMT
GNPNAT1:SLC25A32	GNPNAT1	SLC25A32
RHOT1:CGRRF1	RHOT1	CGRRF1
POLR2F:NPTXR	POLR2F	NPTXR
ACOT2:PSMA3	ACOT2	PSMA3
CHGA:B4GALNT4	CHGA	B4GALNT4
CRIPT:TCF20	CRIPT	TCF20
SLC35E4:SCG2	SLC35E4	SCG2
RPS27:SLC25A1	RPS27	SLC25A1
GGA1:PTGES3	GGA1	PTGES3
TFIP11:WBP4	TFIP11	WBP4
XRCC6:SNU13	XRCC6	SNU13
ATP6V1D:MPHOSPH8	ATP6V1D	MPHOSPH8
CIPC:MCM6	CIPC	MCM6
BAZ2A:PRR36	BAZ2A	PRR36
UNG:EIF3F	UNG	EIF3F
ANKRD13A:SQSTM1	ANKRD13A	SQSTM1
