Fusion Name	Gene 1 Symbol	Gene 1 ID	Gene 1 Breakpoint	Gene 1 Strand	Gene 1 Reference Strand	Gene 2 Symbol	Gene 2 ID	Gene 2 Breakpoint	Gene 2 Strand	Gene 2 Reference Strand	Breakpoint Distance	Supporting Reads	Read IDs	Strand Comparison	GF Program
BAG6:SLC44A4	BAG6	ENSG00000204463.14	chr6:31651656	-	-	SLC44A4	ENSG00000204385.13	chr6:31865784	-	-	214.126	86	08cbd1ba-4a72-43b7-9e20-e2209ce25881	Consistent	JAFFAL
BCR:ABL1	BCR	ENSG00000186716.21	chr22:23290413	+	+	ABL1	ENSG00000097007.20	chr9:130854064	+	+	inf	40	13581df7-a34b-4968-a43d-f984d302e89c	Consistent	JAFFAL
HBG2:HBE1	HBG2	ENSG00000196565.15	chr11:5505351	-	-	HBE1	ENSG00000213931.7	chr11:5270156	-	-	235.2	39	043a6edd-831f-4f5a-8ce5-1cd1064bf97e	Consistent	JAFFAL
BAG6:SLC44A4	BAG6	ENSG00000204463.14	chr6:31651656	-	-	SLC44A4	ENSG00000204385.13	chr6:31865601	-	-	213.942	17	0596b16e-3e52-4bff-98ed-3cdbcdfc1bbc	Consistent	JAFFAL
HBG2:HBE1	HBG2	ENSG00000196565.15	chr11:5505351	-	-	HBE1	ENSG00000213931.7	chr11:5281951	-	-	223.404	16	09b8d022-5995-4cc3-81fe-de439789ce54	Consistent	JAFFAL
NUP214:XKR3	NUP214	ENSG00000126883.19	chr9:131199015	+	+	XKR3	ENSG00000172967.8	chr22:16808083	-	-	inf	9	24016df2-c090-4de4-8fff-80c7d29648c9	Consistent	JAFFAL
UPF3A:CDC16	UPF3A	ENSG00000169062.15	chr13:114302025	+	+	CDC16	ENSG00000130177.16	chr13:114272184	+	+	29.838	5	4c8b55ab-962a-49c3-877f-9b80bcd18a77	Consistent	JAFFAL
C16orf87:ORC6	C16orf87	ENSG00000155330.10	chr16:46824386	-	-	ORC6	ENSG00000091651.9	chr16:46696017	+	+	128.365	5	45163f6d-d81e-4776-8916-d08ebf9ae607	Consistent	JAFFAL
HBE1:HBG2	HBE1	ENSG00000213931.7	chr11:5505569	-	-	HBG2	ENSG00000196565.15	chr11:5254514	-	-	251.057	5	6ddd0f14-718a-4992-8c95-45ead3e47df7	Consistent	JAFFAL
C10orf76:KCNIP2	C10orf76		chr10:102040013	-		KCNIP2	ENSG00000120049.20	chr10:101829199	-	-	210.82	4	06f6d2cb-6af6-4ccf-b615-2df010c2318d	Inconsistent	JAFFAL
RP11-96H19.1:RP11-446N19.1	RP11-96H19.1		chr12:46387972	+		RP11-446N19.1		chr12:46652390	+		264.428	4	baaad642-7e64-427b-ae23-cf1ba76e55a2	Consistent	JAFFAL
UMAD1:ICA1	UMAD1	ENSG00000219545.12	chr7:7801743	+	+	ICA1	ENSG00000003147.19	chr7:8114044	-	-	312.303	4	ccf1c731-334d-4d08-8995-c68a68fd9486	Consistent	JAFFAL
RFC3:SUPT20H	RFC3	ENSG00000133119.13	chr13:33823984	+	+	SUPT20H	ENSG00000102710.21	chr13:37017364	-	-	3193.381	4	034a4010-7709-4b5f-b104-ae09a10a0f41	Consistent	JAFFAL
PARK2:RP11-307P5.1	PARK2		chr6:162727662	-		RP11-307P5.1		chr6:147733729	+		14993.933	4	5c4d8b07-62a2-4717-a38b-a09b6cbfd0d3	Consistent	JAFFAL
PPIA:EMC8	PPIA	ENSG00000196262.15	chr7:44799874	+	+	EMC8	ENSG00000131148.9	chr16:85781280	-	-	inf	4	d6be70d6-58ef-413f-a64d-6589e0dcc39d	Consistent	JAFFAL
CMC4:AMN1	CMC4	ENSG00000182712.16	chrX:155070694	-	-	AMN1	ENSG00000151743.11	chr12:31702007	-	-	inf	4	510b272f-8fbe-4c0b-acc7-3acbc86161d3	Consistent	JAFFAL
ZFYVE21:KLC1	ZFYVE21	ENSG00000100711.14	chr14:103715979	+	+	KLC1	ENSG00000126214.22	chr14:103700655	+	+	15.321	3	07184dda-4876-4cdd-81fc-00ca3000930a	Consistent	JAFFAL
BCL2L11:MIR4435-1HG	BCL2L11	ENSG00000153094.26	chr2:111124139	+	+	MIR4435-1HG		chr2:111233739	-		109.601	3	74c40595-07b2-4283-9b77-15e1ca3f1801	Inconsistent	JAFFAL
GDI2:FBXO18	GDI2	ENSG00000057608.17	chr10:5813214	-	-	FBXO18		chr10:5936456	+		123.244	3	32dcf762-c6c0-43a9-b1a2-a1c271b5c63e	Inconsistent	JAFFAL
C16orf87:ORC6	C16orf87	ENSG00000155330.10	chr16:46824386	-	-	ORC6	ENSG00000091651.9	chr16:46693093	+	+	131.294	3	a2bc150c-7565-4683-8bca-34d16ad6aeec	Consistent	JAFFAL
UBA1:TIMP1	UBA1	ENSG00000130985.17	chrX:47194024	+	+	TIMP1	ENSG00000102265.12	chrX:47586521	+	+	392.502	3	0f316620-a892-4a13-a26a-b814e7f49d3d	Consistent	JAFFAL
SNX13:BZW2	SNX13	ENSG00000071189.21	chr7:17940284	-	-	BZW2	ENSG00000136261.16	chr7:16665437	+	+	1274.85	3	67851956-8558-4b92-a1f8-5793b9a40ca1	Consistent	JAFFAL
FNDC3A:SUGT1	FNDC3A	ENSG00000102531.16	chr13:49006289	+	+	SUGT1	ENSG00000165416.15	chr13:52687734	+	+	3681.449	3	34f067ab-f26b-4f2e-8ecd-556845126d7f	Consistent	JAFFAL
STIP1:PSMA7	STIP1	ENSG00000168439.17	chr11:64193287	+	+	PSMA7	ENSG00000101182.15	chr20:62140944	-	-	inf	3	34a8ff07-864b-4c7b-8ed2-ab1d9b07ef5c	Consistent	JAFFAL
ERI2:XKR3	ERI2	ENSG00000196678.14	chr16:20802796	-	-	XKR3	ENSG00000172967.8	chr22:16784409	-	-	inf	3	57b40968-5b59-4ad6-b5a4-86be335a2215	Consistent	JAFFAL
ASB16-AS1:TUBB	ASB16-AS1	ENSG00000267080.8	chr17:44181623	-	-	TUBB	ENSG00000196230.14	chr6:30723340	+	+	inf	3	0b403e5d-8dd9-47be-8d75-2c565782d0ef	Consistent	JAFFAL
ZNF441:CTD-2132N18.3	ZNF441	ENSG00000197044.11	chr19:11767196	+	+	CTD-2132N18.3		chr17:42130590	-		inf	3	9831e9af-0375-44b3-83e1-a90d2f6dfd6d	Inconsistent	JAFFAL
ZNF626:ATP5C1	ZNF626	ENSG00000188171.17	chr19:20661444	-	-	ATP5C1		chr10:7797047	+		inf	3	361bda46-d4cc-4a6f-9436-0363fccc1d92	Inconsistent	JAFFAL
CTD-2017D11.1:RPL5	CTD-2017D11.1		chr19:24049548	+		RPL5	ENSG00000122406.14	chr1:92836190	+	+	inf	3	545a1c20-f2cf-4ae7-80cd-65641781a90f	Inconsistent	JAFFAL
FRRS1:SKA3	FRRS1	ENSG00000156869.14	chr1:99738086	-	-	SKA3	ENSG00000165480.16	chr13:21155811	-	-	inf	3	596c340c-e13c-4de6-bf86-0ce55136efe6	Consistent	JAFFAL
LINC00879:PSMB1	LINC00879	ENSG00000239589.7	chr3:94938326	+	+	PSMB1	ENSG00000008018.9	chr6:170549113	-	-	inf	3	43935e2e-a69f-46ac-8141-c6edbc128434	Consistent	JAFFAL
DANCR:NVL	DANCR	ENSG00000226950.8	chr4:52712959	+	+	NVL	ENSG00000143748.18	chr1:224250318	-	-	inf	3	3adf9065-e56e-4bc2-a653-99da45851ea8	Consistent	JAFFAL
KIAA1586:IK	KIAA1586	ENSG00000168116.14	chr6:57047396	+	+	IK	ENSG00000113141.19	chr5:140659315	+	+	inf	3	4caa1a9c-233e-4d85-a6fe-8179ea310746	Consistent	JAFFAL
ERICH1:GFI1B	ERICH1	ENSG00000104714.14	chr8:715861	-	-	GFI1B	ENSG00000165702.15	chr9:132986659	+	+	inf	3	97ac61d8-dc0b-4f25-87fa-71c247ac3b47	Consistent	JAFFAL
RPL12:RCC1	RPL12	ENSG00000197958.13	chr9:127449281	-	-	RCC1	ENSG00000180198.17	chr1:28508128	+	+	inf	3	4279b306-8e11-4cbd-8d42-b6ee680b5166	Consistent	JAFFAL
UCHL5:HIBADH	UCHL5	ENSG00000116750.14	chr1:193049746	-	-	HIBADH	ENSG00000106049.9	chr7:27538417	-	-	inf	3	19f2aee7-316e-4dac-a8e9-eb172bec763f	Consistent	JAFFAL
LINC01234:C21orf59	LINC01234	ENSG00000249550.8	chr12:113767075	-	-	C21orf59		chr21:32609954	-		inf	3	bea96cbf-361f-4103-ac6b-66d5804e6ce1	Inconsistent	JAFFAL
